id,deviceid,valid,latitude,longitude,devicetime,speed,attributes
1226894,16,1,19.478930666666667,-98.125378,2019-04-04 05:12:14,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1226930,16,1,19.478930666666667,-98.125378,2019-04-04 05:12:24,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1226965,16,1,19.478930666666667,-98.125378,2019-04-04 05:12:34,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227000,16,1,19.478930666666667,-98.125378,2019-04-04 05:12:44,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227036,16,1,19.478930666666667,-98.125378,2019-04-04 05:12:54,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227070,16,1,19.478930666666667,-98.125378,2019-04-04 05:13:04,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227105,16,1,19.478930666666667,-98.125378,2019-04-04 05:13:14,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227137,16,1,19.478930666666667,-98.125378,2019-04-04 05:13:24,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227170,16,1,19.478930666666667,-98.125378,2019-04-04 05:13:34,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227206,16,1,19.478930666666667,-98.125378,2019-04-04 05:13:44,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227246,16,1,19.478930666666667,-98.125378,2019-04-04 05:13:54,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227278,16,1,19.478930666666667,-98.125378,2019-04-04 05:14:04,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227313,16,1,19.478930666666667,-98.125378,2019-04-04 05:14:14,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227347,16,1,19.478930666666667,-98.125378,2019-04-04 05:14:24,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227381,16,1,19.478930666666667,-98.125378,2019-04-04 05:14:34,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227415,16,1,19.478930666666667,-98.125378,2019-04-04 05:14:44,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227451,16,1,19.478930666666667,-98.125378,2019-04-04 05:14:54,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227484,16,1,19.478930666666667,-98.125378,2019-04-04 05:15:04,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227520,16,1,19.478930666666667,-98.125378,2019-04-04 05:15:14,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227551,16,1,19.478930666666667,-98.125378,2019-04-04 05:15:24,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227585,16,1,19.478930666666667,-98.125378,2019-04-04 05:15:34,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227620,16,1,19.478930666666667,-98.125378,2019-04-04 05:15:44,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227657,16,1,19.478930666666667,-98.125378,2019-04-04 05:15:54,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227690,16,1,19.478930666666667,-98.125378,2019-04-04 05:16:04,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227724,16,1,19.478930666666667,-98.125378,2019-04-04 05:16:14,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227755,16,1,19.478930666666667,-98.125378,2019-04-04 05:16:24,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227788,16,1,19.478930666666667,-98.125378,2019-04-04 05:16:34,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227832,16,1,19.478930666666667,-98.125378,2019-04-04 05:16:44,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227855,16,1,19.478930666666667,-98.125378,2019-04-04 05:16:54,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227890,16,1,19.478930666666667,-98.125378,2019-04-04 05:17:04,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227921,16,1,19.478930666666667,-98.125378,2019-04-04 05:17:14,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227953,16,1,19.478930666666667,-98.125378,2019-04-04 05:17:24,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1227983,16,1,19.478930666666667,-98.125378,2019-04-04 05:17:34,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1228017,16,1,19.478930666666667,-98.125378,2019-04-04 05:17:44,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1228051,16,1,19.478930666666667,-98.125378,2019-04-04 05:17:54,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1228083,16,1,19.478930666666667,-98.125378,2019-04-04 05:18:04,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1228117,16,1,19.478930666666667,-98.125378,2019-04-04 05:18:14,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1228149,16,1,19.478930666666667,-98.125378,2019-04-04 05:18:24,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1228183,16,1,19.478930666666667,-98.125378,2019-04-04 05:18:34,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1228220,16,1,19.478930666666667,-98.125378,2019-04-04 05:18:44,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1228258,16,1,19.478930666666667,-98.125378,2019-04-04 05:18:54,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1228289,16,1,19.478930666666667,-98.125378,2019-04-04 05:19:04,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1228322,16,1,19.478930666666667,-98.125378,2019-04-04 05:19:14,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1228353,16,1,19.478930666666667,-98.125378,2019-04-04 05:19:24,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1228381,16,1,19.478930666666667,-98.125378,2019-04-04 05:19:34,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1228413,16,1,19.478930666666667,-98.125378,2019-04-04 05:19:44,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1228449,16,1,19.478930666666667,-98.125378,2019-04-04 05:19:54,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1228489,16,1,19.478930666666667,-98.125378,2019-04-04 05:20:04,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1228514,16,1,19.478930666666667,-98.125378,2019-04-04 05:20:14,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1228543,16,1,19.478930666666667,-98.125378,2019-04-04 05:20:24,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
1228576,16,1,19.478930666666667,-98.125378,2019-04-04 05:20:34,0.0,"{""distance"":0.0,""totalDistance"":1466949.74,""motion"":false}"
